domain,level,chinese,AoA,n_char,n_utt_Mandarin,quantifier_p,whNP_p,anchor_p,another_p,labelling_p,definite_p,crit_index,crit_index_p
instrument,Basic,小提琴,11.185185185185183,3,14,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,
instrument,Basic,吉他,10.95,2,6,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,
instrument,Basic,二胡,8.68421052631579,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
instrument,Basic,琵琶,12.058823529411764,2,0,,,,,,,,
beverage,Superordinate,饮料,8.55,2,53,0.03773584905660377,0.24528301886792453,0.018867924528301886,0.0,0.018867924528301886,0.018867924528301886,0.07547169811320754,
beverage,Basic,牛奶,7.31578947,2,190,0.02631578947368421,0.05789473684210526,0.0,0.005263157894736842,0.015789473684210527,0.015789473684210527,0.02236842105263158,
beverage,Basic,咖啡,10.421052631578949,2,51,0.0,0.0392156862745098,0.0,0.0,0.0784313725490196,0.0,0.00980392156862745,
beverage,Basic,果汁,9.72222222222222,2,59,0.0,0.05084745762711865,0.0,0.0,0.05084745762711865,0.01694915254237288,0.012711864406779662,
beverage,Basic,啤酒,10.210526315789474,2,19,0.0,0.10526315789473684,0.0,0.0,0.05263157894736842,0.0,0.02631578947368421,
beverage,Basic,茶水,10.45,2,3,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.08333333333333333,
beverage,Basic,汽水,8.894736842105264,2,17,0.0,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705,0.014705882352941176,
beverage,Basic,可乐,8.833333333333334,2,24,0.0,0.125,0.0,0.0,0.041666666666666664,0.0,0.03125,
beverage,Basic,豆浆,7.708333333333333,2,27,0.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.018518518518518517,
flower,Superordinate,花卉,9.38095238,2,0,,,,,,,,
flower,Basic,玫瑰,7.318181818181818,2,10,0.0,0.1,0.0,0.0,0.0,0.1,0.025,
flower,Basic,菊花,7.7,2,15,0.0,0.2,0.0,0.0,0.06666666666666667,0.0,0.05,
flower,Basic,牡丹,7.571428571428571,2,0,,,,,,,,
flower,Basic,荷花,7.619047619047619,2,7,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.03571428571428571,
flower,Basic,百合,10.130434782608695,2,0,,,,,,,,
food,Superordinate,食物,6.809523809523809,2,67,0.13432835820895522,0.1791044776119403,0.014925373134328358,0.0,0.04477611940298507,0.07462686567164178,0.08208955223880597,
food,Basic,米饭,5.0,2,43,0.023255813953488372,0.023255813953488372,0.0,0.0,0.0,0.0,0.011627906976744186,
food,Basic,面条,6.411764705882353,2,22,0.0,0.045454545454545456,0.0,0.0,0.045454545454545456,0.0,0.011363636363636364,
food,Basic,馒头,5.9,2,52,0.0,0.057692307692307696,0.0,0.0,0.019230769230769232,0.057692307692307696,0.014423076923076924,
food,Basic,饺子,5.52380952,2,52,0.0,0.09615384615384616,0.0,0.0,0.0,0.057692307692307696,0.02403846153846154,
food,Basic,面包,6.8,2,114,0.017543859649122806,0.03508771929824561,0.017543859649122806,0.0,0.12280701754385964,0.05263157894736842,0.017543859649122806,
food,Basic,包子,7.57894737,2,29,0.0,0.06896551724137931,0.0,0.0,0.0,0.034482758620689655,0.017241379310344827,
food,Basic,炒饭,8.5,2,11,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.09090909090909091,
